
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    0.0.0.0:135            0.0.0.0:0              LISTENING       1712
  TCP    0.0.0.0:445            0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:1074           0.0.0.0:0              LISTENING       1368
  TCP    0.0.0.0:2249           0.0.0.0:0              LISTENING       14484
  TCP    0.0.0.0:3000           0.0.0.0:0              LISTENING       31124
  TCP    0.0.0.0:3001           0.0.0.0:0              LISTENING       22856
  TCP    0.0.0.0:3680           0.0.0.0:0              LISTENING       13948
  TCP    0.0.0.0:3866           0.0.0.0:0              LISTENING       20488
  TCP    0.0.0.0:5040           0.0.0.0:0              LISTENING       12000
  TCP    0.0.0.0:5186           0.0.0.0:0              LISTENING       29888
  TCP    0.0.0.0:8498           0.0.0.0:0              LISTENING       19612
  TCP    0.0.0.0:9268           0.0.0.0:0              LISTENING       23060
  TCP    0.0.0.0:9727           0.0.0.0:0              LISTENING       27032
  TCP    0.0.0.0:10111          0.0.0.0:0              LISTENING       5492
  TCP    0.0.0.0:13346          0.0.0.0:0              LISTENING       31792
  TCP    0.0.0.0:30193          0.0.0.0:0              LISTENING       2064
  TCP    0.0.0.0:30194          0.0.0.0:0              LISTENING       12440
  TCP    0.0.0.0:30196          0.0.0.0:0              LISTENING       5832
  TCP    0.0.0.0:30197          0.0.0.0:0              LISTENING       2064
  TCP    0.0.0.0:49664          0.0.0.0:0              LISTENING       1428
  TCP    0.0.0.0:49665          0.0.0.0:0              LISTENING       1232
  TCP    0.0.0.0:49666          0.0.0.0:0              LISTENING       2392
  TCP    0.0.0.0:49667          0.0.0.0:0              LISTENING       3640
  TCP    0.0.0.0:49668          0.0.0.0:0              LISTENING       4944
  TCP    0.0.0.0:54320          0.0.0.0:0              LISTENING       5968
  TCP    127.0.0.1:1001         0.0.0.0:0              LISTENING       4
  TCP    127.0.0.1:1066         0.0.0.0:0              LISTENING       5816
  TCP    127.0.0.1:1075         127.0.0.1:1076         ESTABLISHED     5492
  TCP    127.0.0.1:1076         127.0.0.1:1075         ESTABLISHED     5492
  TCP    127.0.0.1:1077         0.0.0.0:0              LISTENING       5492
  TCP    127.0.0.1:1196         127.0.0.1:14718        ESTABLISHED     27428
  TCP    127.0.0.1:1200         127.0.0.1:14719        ESTABLISHED     27428
  TCP    127.0.0.1:1201         127.0.0.1:14719        ESTABLISHED     27428
  TCP    127.0.0.1:1499         127.0.0.1:2101         ESTABLISHED     34428
  TCP    127.0.0.1:1675         127.0.0.1:2101         ESTABLISHED     34428
  TCP    127.0.0.1:1677         127.0.0.1:2101         TIME_WAIT       0
  TCP    127.0.0.1:2101         0.0.0.0:0              LISTENING       34488
  TCP    127.0.0.1:2101         127.0.0.1:1499         ESTABLISHED     34488
  TCP    127.0.0.1:2101         127.0.0.1:1675         ESTABLISHED     34488
  TCP    127.0.0.1:2101         127.0.0.1:4284         TIME_WAIT       0
  TCP    127.0.0.1:2101         127.0.0.1:5398         ESTABLISHED     34488
  TCP    127.0.0.1:2101         127.0.0.1:5480         TIME_WAIT       0
  TCP    127.0.0.1:2101         127.0.0.1:6475         TIME_WAIT       0
  TCP    127.0.0.1:2101         127.0.0.1:6476         TIME_WAIT       0
  TCP    127.0.0.1:2101         127.0.0.1:7395         TIME_WAIT       0
  TCP    127.0.0.1:2101         127.0.0.1:8160         ESTABLISHED     34488
  TCP    127.0.0.1:2101         127.0.0.1:8782         ESTABLISHED     34488
  TCP    127.0.0.1:2101         127.0.0.1:8800         ESTABLISHED     34488
  TCP    127.0.0.1:2101         127.0.0.1:10760        TIME_WAIT       0
  TCP    127.0.0.1:2101         127.0.0.1:12474        ESTABLISHED     34488
  TCP    127.0.0.1:2101         127.0.0.1:12476        ESTABLISHED     34488
  TCP    127.0.0.1:2101         127.0.0.1:12937        TIME_WAIT       0
  TCP    127.0.0.1:2547         127.0.0.1:9229         SYN_SENT        11536
  TCP    127.0.0.1:3329         127.0.0.1:5354         ESTABLISHED     5968
  TCP    127.0.0.1:3984         127.0.0.1:5354         TIME_WAIT       0
  TCP    127.0.0.1:4816         127.0.0.1:5354         ESTABLISHED     5968
  TCP    127.0.0.1:5354         0.0.0.0:0              LISTENING       22040
  TCP    127.0.0.1:5354         127.0.0.1:3329         ESTABLISHED     22040
  TCP    127.0.0.1:5354         127.0.0.1:4816         ESTABLISHED     22040
  TCP    127.0.0.1:5354         127.0.0.1:12263        ESTABLISHED     22040
  TCP    127.0.0.1:5398         127.0.0.1:2101         ESTABLISHED     34428
  TCP    127.0.0.1:6217         127.0.0.1:14712        ESTABLISHED     10000
  TCP    127.0.0.1:6219         127.0.0.1:6801         ESTABLISHED     10600
  TCP    127.0.0.1:6379         0.0.0.0:0              LISTENING       5868
  TCP    127.0.0.1:6478         127.0.0.1:2101         TIME_WAIT       0
  TCP    127.0.0.1:6759         127.0.0.1:5354         TIME_WAIT       0
  TCP    127.0.0.1:6801         127.0.0.1:6219         ESTABLISHED     27428
  TCP    127.0.0.1:7380         0.0.0.0:0              LISTENING       22856
  TCP    127.0.0.1:7380         127.0.0.1:7381         ESTABLISHED     22856
  TCP    127.0.0.1:7381         127.0.0.1:7380         ESTABLISHED     4672
  TCP    127.0.0.1:7396         127.0.0.1:7397         TIME_WAIT       0
  TCP    127.0.0.1:7604         127.0.0.1:2101         TIME_WAIT       0
  TCP    127.0.0.1:8160         127.0.0.1:2101         ESTABLISHED     34428
  TCP    127.0.0.1:8404         127.0.0.1:2101         TIME_WAIT       0
  TCP    127.0.0.1:8730         0.0.0.0:0              LISTENING       10000
  TCP    127.0.0.1:8781         0.0.0.0:0              LISTENING       34428
  TCP    127.0.0.1:8781         127.0.0.1:8790         ESTABLISHED     34428
  TCP    127.0.0.1:8782         127.0.0.1:2101         ESTABLISHED     34428
  TCP    127.0.0.1:8785         127.0.0.1:11010        ESTABLISHED     34488
  TCP    127.0.0.1:8787         127.0.0.1:11010        ESTABLISHED     31992
  TCP    127.0.0.1:8790         127.0.0.1:8781         ESTABLISHED     34488
  TCP    127.0.0.1:8800         127.0.0.1:2101         ESTABLISHED     34428
  TCP    127.0.0.1:8803         0.0.0.0:0              LISTENING       34488
  TCP    127.0.0.1:10931        127.0.0.1:5354         TIME_WAIT       0
  TCP    127.0.0.1:11010        0.0.0.0:0              LISTENING       34428
  TCP    127.0.0.1:11010        127.0.0.1:8785         ESTABLISHED     34428
  TCP    127.0.0.1:11010        127.0.0.1:8787         ESTABLISHED     34428
  TCP    127.0.0.1:11011        0.0.0.0:0              LISTENING       34428
  TCP    127.0.0.1:11011        127.0.0.1:1174         TIME_WAIT       0
  TCP    127.0.0.1:11011        127.0.0.1:9110         TIME_WAIT       0
  TCP    127.0.0.1:11011        127.0.0.1:9433         TIME_WAIT       0
  TCP    127.0.0.1:11011        127.0.0.1:14939        TIME_WAIT       0
  TCP    127.0.0.1:11371        127.0.0.1:5354         TIME_WAIT       0
